Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-27112.56,479.72,84.22,284.18
imitation_learning,-27546.34,487.74,19110.23,6688.66
myopic,-30559.45,599.99,886.11,499.09
genetic_programming,-27296.0,483.97,1885.5,710.96
linear_value_function_approximation,-27499.42,534.29,2684.03,1043.93
deep_q_networks,-29838.08,1220.82,38462.25,32875.59
point_estimate_lookahead,-27476.43,475.45,4214853.67,4471560.91
distributional_estimate_lookahead,-27248.18,465.81,2228156.15,3515923.69
linear_programming_heuristic,-27281.92,476.56,2023946.76,3531226.69
linear_programming_exact,-27258.64,470.1,5760497.45,3619101.86
parameterized_lookahead_approximation,-27248.18,465.81,2211015.82,3626195.11
proximal_policy_optimization,-28952.81,752.0,102549.11,11398.75
