Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-19682.22,514.37,88.015199,286.249436
point_estimate_lookahead,-19960.09,530.14,115289879.098535,6445635355.833131
distributional_estimate_lookahead,-19954.75,524.68,3142715.546489,1817383.525499
parameterized_lookahead_approximation,-19948.64,530.28,3174639.549851,1965102.602463
linear_programming_heuristic,-19945.83,523.57,3882344.773412,160054144.540043
linear_programming_exact,-19954.75,524.68,17432191.157341,1968372302.445951
imitation_learning,-20029.47,566.4,18658.554554,944.451556
myopic,-21636.49,756.37,1226.010919,475.432824
genetic_programming,-20158.41,533.27,3470.292687,588.882979
linear_value_function_approximation,-20364.19,632.68,3468.346596,618.15564
deep_q_networks,-20439.92,670.5,36078.053713,1229.677922
proximal_policy_optimization,-20812.45,652.88,100683.370233,2434.57334
exact_value_function,-19922.91,525.04,4617.726803,683.831933
