num_warehouses,num_customers,capacity_distribution,best_ind,fitness
2,50,uniform,"div(div(div(div(CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), mult(div(DISTANCE, CAPACITY), CAPACITY)), mult(div(add(DISTANCE, INITIAL_CAPACITY), CAPACITY), DISTANCE))",-3226.9509068265006
2,50,uneven,"div(div(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, DISTANCE)), div(CAPACITY, DISTANCE)), DISTANCE)",-3438.6141172470843
2,100,uniform,"div(CAPACITY, mult(add(add(INITIAL_CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), add(DISTANCE, INITIAL_CAPACITY)))",-6357.606489263815
2,100,uneven,"div(sub(CAPACITY, add(DISTANCE, div(INITIAL_CAPACITY, CAPACITY))), div(CAPACITY, add(DISTANCE, div(DISTANCE, CAPACITY))))",-6826.325575907596
2,200,uniform,"div(CAPACITY, add(add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY))))",-12782.354908162564
2,200,uneven,"div(CAPACITY, div(mult(DISTANCE, mult(DISTANCE, DISTANCE)), add(CAPACITY, DISTANCE)))",-13637.972412567597
2,400,uniform,"mult(sub(div(sub(INITIAL_CAPACITY, DISTANCE), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.004966338645
2,400,uneven,"div(div(div(add(INITIAL_CAPACITY, DISTANCE), DISTANCE), DISTANCE), div(div(INITIAL_CAPACITY, div(CAPACITY, DISTANCE)), add(INITIAL_CAPACITY, DISTANCE)))",-27048.700002335267
3,50,uniform,"add(add(mult(mult(INITIAL_CAPACITY, DISTANCE), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), mult(add(DISTANCE, DISTANCE), mult(INITIAL_CAPACITY, DISTANCE))), div(sub(add(DISTANCE, DISTANCE), mult(INITIAL_CAPACITY, DISTANCE)), div(div(CAPACITY, DISTANCE), DISTANCE)))",-2664.7266136471526
3,50,uneven,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493
3,100,uniform,"sub(add(add(add(DISTANCE, CAPACITY), add(DISTANCE, CAPACITY)), DISTANCE), mult(div(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)))",-5171.995033559282
3,100,uneven,"sub(add(CAPACITY, add(CAPACITY, CAPACITY)), mult(add(mult(DISTANCE, DISTANCE), DISTANCE), div(div(DISTANCE, DISTANCE), add(CAPACITY, CAPACITY))))",-5643.65806255898
3,200,uniform,"div(add(add(mult(INITIAL_CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(mult(mult(CAPACITY, DISTANCE), div(INITIAL_CAPACITY, CAPACITY)), sub(add(INITIAL_CAPACITY, INITIAL_CAPACITY), div(DISTANCE, DISTANCE))))",-10083.286141850462
3,200,uneven,"div(add(div(add(DISTANCE, DISTANCE), INITIAL_CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, DISTANCE))",-11221.364404943724
3,400,uniform,"add(add(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, add(CAPACITY, CAPACITY))), div(sub(add(DISTANCE, CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, DISTANCE)))",-20022.388912058843
3,400,uneven,"div(add(add(CAPACITY, div(DISTANCE, DISTANCE)), div(add(DISTANCE, DISTANCE), INITIAL_CAPACITY)), add(add(DISTANCE, DISTANCE), div(add(CAPACITY, INITIAL_CAPACITY), add(DISTANCE, DISTANCE))))",-22158.765219441644
4,50,uniform,"sub(DISTANCE, add(add(add(DISTANCE, DISTANCE), INITIAL_CAPACITY), div(add(DISTANCE, DISTANCE), CAPACITY)))",-2174.190005485703
4,50,uneven,"div(add(add(add(INITIAL_CAPACITY, DISTANCE), CAPACITY), div(CAPACITY, CAPACITY)), add(add(INITIAL_CAPACITY, DISTANCE), add(add(INITIAL_CAPACITY, DISTANCE), DISTANCE)))",-2541.5156164477985
4,100,uniform,"div(add(add(mult(CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(INITIAL_CAPACITY, mult(CAPACITY, INITIAL_CAPACITY))), DISTANCE)",-4185.463527790625
4,100,uneven,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(div(CAPACITY, CAPACITY), CAPACITY)))",-4933.065579053353
4,200,uniform,"div(CAPACITY, add(div(add(DISTANCE, CAPACITY), div(INITIAL_CAPACITY, DISTANCE)), add(div(INITIAL_CAPACITY, DISTANCE), INITIAL_CAPACITY)))",-8122.139366695929
4,200,uneven,"div(CAPACITY, sub(add(DISTANCE, add(DISTANCE, DISTANCE)), div(add(DISTANCE, DISTANCE), CAPACITY)))",-9716.81295192948
4,400,uniform,"div(mult(div(DISTANCE, INITIAL_CAPACITY), add(add(CAPACITY, DISTANCE), DISTANCE)), sub(sub(mult(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)), div(DISTANCE, INITIAL_CAPACITY)))",-16011.540981297823
4,400,uneven,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(add(DISTANCE, DISTANCE), div(CAPACITY, CAPACITY)), CAPACITY))",-19095.328962835592
5,50,uniform,"sub(sub(mult(CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), sub(mult(CAPACITY, DISTANCE), CAPACITY)), INITIAL_CAPACITY)",-2097.1963641393595
5,50,uneven,"div(div(div(mult(INITIAL_CAPACITY, CAPACITY), DISTANCE), DISTANCE), add(add(add(DISTANCE, DISTANCE), add(DISTANCE, INITIAL_CAPACITY)), add(div(DISTANCE, DISTANCE), INITIAL_CAPACITY)))",-2246.8349073105232
5,100,uniform,"div(add(add(DISTANCE, add(DISTANCE, CAPACITY)), div(DISTANCE, add(DISTANCE, CAPACITY))), add(add(DISTANCE, add(DISTANCE, CAPACITY)), DISTANCE))",-4022.4927398046348
5,100,uneven,"sub(add(DISTANCE, add(add(CAPACITY, CAPACITY), sub(DISTANCE, CAPACITY))), div(sub(DISTANCE, CAPACITY), div(div(CAPACITY, DISTANCE), div(DISTANCE, DISTANCE))))",-4219.389540679157
