num_warehouses,num_customers,capacity_distribution,training_time
2,50,uniform,0.46000
2,50,uneven,0.31000
2,100,uniform,0.88000
2,100,uneven,0.72000
2,200,uniform,1.25000
2,200,uneven,1.31000
2,400,uniform,6.98000
2,400,uneven,3.10000
3,50,uniform,1.30000
3,50,uneven,0.39000
3,100,uniform,1.26000
3,100,uneven,1.10000
3,200,uniform,3.02000
3,200,uneven,1.79000
3,400,uniform,7.13000
3,400,uneven,3.63000
4,50,uniform,0.67000
4,50,uneven,0.77000
4,100,uniform,0.94000
4,100,uneven,0.86000
4,200,uniform,1.83000
4,200,uneven,1.41000
4,400,uniform,5.20000
4,400,uneven,3.07000
5,50,uniform,0.42000
5,50,uneven,0.56000
5,100,uniform,1.00000
5,100,uneven,1.74000
5,200,uniform,2.60000
5,200,uneven,5.09000
5,400,uniform,7.28000
5,400,uneven,6.67000
