max_depth,generation,id,individual,fitness
4,1,1,INITIAL_CAPACITY,-37868.76354722587
4,1,2,"sub(DISTANCE, INITIAL_CAPACITY)",-42439.587648414396
4,1,3,CAPACITY,-30903.21614994234
4,1,4,DISTANCE,-49740.143349434205
4,1,5,"add(INITIAL_CAPACITY, DISTANCE)",-45143.72045786634
4,1,6,"div(INITIAL_CAPACITY, CAPACITY)",-37224.06128736743
4,1,7,"mult(CAPACITY, DISTANCE)",-51292.065892743805
4,1,8,CAPACITY,-30903.21614994234
4,1,9,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-29373.955978891823
4,1,10,"mult(sub(add(add(INITIAL_CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), add(div(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY))), mult(sub(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), sub(sub(DISTANCE, CAPACITY), div(CAPACITY, INITIAL_CAPACITY))))",-42599.60811964541
4,1,11,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,1,12,"sub(INITIAL_CAPACITY, DISTANCE)",-31014.83093267018
4,1,13,"div(DISTANCE, DISTANCE)",-24880.085288224862
4,1,14,"sub(div(div(CAPACITY, DISTANCE), add(CAPACITY, DISTANCE)), div(sub(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)))",-30447.098899378754
4,1,15,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,1,16,"mult(DISTANCE, div(DISTANCE, INITIAL_CAPACITY))",-45970.058781678075
4,1,17,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,1,18,CAPACITY,-30903.21614994234
4,1,19,"mult(div(INITIAL_CAPACITY, CAPACITY), mult(INITIAL_CAPACITY, DISTANCE))",-42167.62252063148
4,1,20,INITIAL_CAPACITY,-37868.76354722587
4,1,21,"mult(add(DISTANCE, CAPACITY), sub(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-26927.54499396543
4,1,22,"sub(add(sub(div(DISTANCE, DISTANCE), add(DISTANCE, INITIAL_CAPACITY)), mult(mult(CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, DISTANCE))), div(mult(mult(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY)), div(mult(INITIAL_CAPACITY, CAPACITY), sub(DISTANCE, DISTANCE))))",-45644.279151749346
4,1,23,CAPACITY,-30903.21614994234
4,1,24,"div(div(mult(DISTANCE, DISTANCE), mult(CAPACITY, DISTANCE)), add(div(DISTANCE, DISTANCE), add(DISTANCE, DISTANCE)))",-37674.11276546717
4,1,25,CAPACITY,-30903.21614994234
4,1,26,INITIAL_CAPACITY,-37868.76354722587
4,1,27,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-37615.5031860679
4,1,28,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-24880.085288224862
4,1,29,"sub(CAPACITY, mult(div(INITIAL_CAPACITY, CAPACITY), CAPACITY))",-32041.677763807376
4,1,30,"sub(div(INITIAL_CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))",-37674.11276546717
4,1,31,"sub(add(div(INITIAL_CAPACITY, DISTANCE), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(DISTANCE, DISTANCE), div(CAPACITY, CAPACITY)))",-30998.58478131795
4,1,32,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,1,33,"mult(sub(div(add(CAPACITY, DISTANCE), add(CAPACITY, DISTANCE)), mult(sub(DISTANCE, DISTANCE), mult(CAPACITY, INITIAL_CAPACITY))), sub(div(div(INITIAL_CAPACITY, DISTANCE), add(DISTANCE, CAPACITY)), sub(sub(INITIAL_CAPACITY, INITIAL_CAPACITY), div(DISTANCE, CAPACITY))))",-40315.102816933126
4,1,34,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(CAPACITY, div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-49158.92337400584
4,1,35,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(CAPACITY, CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-37868.76354722587
4,1,36,"div(INITIAL_CAPACITY, CAPACITY)",-37224.06128736743
4,1,37,"mult(add(DISTANCE, sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-34734.63179508119
4,1,38,CAPACITY,-30903.21614994234
4,1,39,"mult(DISTANCE, INITIAL_CAPACITY)",-46437.40789085165
4,1,40,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,1,41,"div(mult(add(add(CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), div(mult(INITIAL_CAPACITY, CAPACITY), div(INITIAL_CAPACITY, INITIAL_CAPACITY))), add(div(sub(CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, DISTANCE), mult(INITIAL_CAPACITY, CAPACITY))))",-37793.95075382538
4,1,42,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-29373.955978891823
4,1,43,"add(div(CAPACITY, mult(DISTANCE, CAPACITY)), add(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY)))",-37638.18182943359
4,1,44,CAPACITY,-30903.21614994234
4,1,45,"sub(DISTANCE, INITIAL_CAPACITY)",-42439.587648414396
4,1,46,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,1,47,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-26180.425480944843
4,1,48,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(mult(DISTANCE, DISTANCE), CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-24009.659013696448
4,1,49,"mult(CAPACITY, INITIAL_CAPACITY)",-36239.64056698138
4,1,50,"sub(div(CAPACITY, DISTANCE), DISTANCE)",-24775.866787038663
