max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(CAPACITY, DISTANCE)",-2956.844656036673,-4240.828085318772
4,2,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3703.4861807440875
4,3,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3448.0630250275867
4,4,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3358.8354761080177
4,5,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3245.98345486917
4,6,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3345.8210487197166
4,7,"div(CAPACITY, DISTANCE)",-2956.844656036673,-3342.8329856369314
4,8,"div(add(div(CAPACITY, CAPACITY), CAPACITY), DISTANCE)",-2915.928307045854,-3173.124663633284
4,9,"div(add(div(CAPACITY, CAPACITY), CAPACITY), DISTANCE)",-2915.928307045854,-3174.219780412476
4,10,"div(add(div(CAPACITY, CAPACITY), CAPACITY), DISTANCE)",-2915.928307045854,-3186.5113382420745
4,11,"div(add(div(CAPACITY, CAPACITY), CAPACITY), DISTANCE)",-2915.928307045854,-3169.2607054207515
4,12,"div(add(div(CAPACITY, CAPACITY), CAPACITY), DISTANCE)",-2915.928307045854,-3229.2228556119017
4,13,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2913.645323726346,-3129.60963781557
4,14,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2913.645323726346,-3092.4319235295816
4,15,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2913.645323726346,-3096.898296270045
4,16,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2913.645323726346,-3106.574531862336
4,17,"div(add(div(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2911.728160226644,-3113.7302437672006
4,18,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2910.704385357937,-3271.3649362044102
4,19,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2910.704385357937,-3043.2949065778957
4,20,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2910.704385357937,-3075.0419028055408
4,21,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2910.704385357937,-3055.5781935745645
4,22,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), DISTANCE)",-2910.704385357937,-3106.3890078518107
4,23,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3073.350568283441
4,24,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3090.04207155203
4,25,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3101.5384034198128
4,26,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3079.237028112922
4,27,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3122.112193396706
4,28,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-2997.0325813327827
4,29,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3112.6849439915795
4,30,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3105.7487454032366
4,31,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3109.413443170899
4,32,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3015.9910197098634
4,33,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3083.839143690964
4,34,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3178.063248230015
4,35,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3025.3442970798396
4,36,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(DISTANCE, div(CAPACITY, CAPACITY)))",-2904.4691312981004,-3241.4020112522326
4,37,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3118.626939207272
4,38,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3084.447616215874
4,39,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3135.5128976012466
4,40,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3152.53251085511
4,41,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3045.3096277529003
4,42,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3122.499041878138
4,43,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3280.8237500598084
4,44,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3121.4560961142374
4,45,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3146.769920530979
4,46,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, CAPACITY)), div(CAPACITY, CAPACITY)))",-2903.1587055710643,-3092.9646305881733
4,47,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3066.32566362549
4,48,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3080.181846533434
4,49,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3065.711819073146
4,50,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3092.8660466898336
4,51,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3222.2633304330184
4,52,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3054.967487378424
4,53,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3266.090929947743
4,54,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3176.202304661883
4,55,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3136.0949857228343
4,56,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3092.735523340356
4,57,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3117.500469999296
4,58,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3077.0029201114003
4,59,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3052.5957518049445
4,60,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3130.383969221807
4,61,"div(add(div(div(CAPACITY, CAPACITY), CAPACITY), add(div(CAPACITY, CAPACITY), CAPACITY)), add(add(DISTANCE, div(CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY)))",-2901.887566835493,-3126.28720342466
