max_depth,generation,id,individual,fitness
4,1,1,INITIAL_CAPACITY,-3811.147489705553
4,1,2,"sub(DISTANCE, INITIAL_CAPACITY)",-6559.3858059728245
4,1,3,CAPACITY,-3588.788280293496
4,1,4,DISTANCE,-6566.020327020464
4,1,5,"add(INITIAL_CAPACITY, DISTANCE)",-6561.932299835517
4,1,6,"div(INITIAL_CAPACITY, CAPACITY)",-4667.370090455357
4,1,7,"mult(CAPACITY, DISTANCE)",-6502.349309724907
4,1,8,CAPACITY,-3588.788280293496
4,1,9,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-3350.1956900593113
4,1,10,"mult(sub(add(add(INITIAL_CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), add(div(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY))), mult(sub(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), sub(sub(DISTANCE, CAPACITY), div(CAPACITY, INITIAL_CAPACITY))))",-6535.037863125382
4,1,11,INITIAL_CAPACITY,-3811.147489705553
4,1,12,"sub(add(div(INITIAL_CAPACITY, DISTANCE), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(DISTANCE, DISTANCE), div(CAPACITY, CAPACITY)))",-2779.231825447397
4,1,13,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-2805.552211226606
4,1,14,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,1,15,"mult(DISTANCE, div(div(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, CAPACITY)))",-6544.85940552646
4,1,16,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-3350.1956900593113
