max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-5868.64131255749
4,2,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-5096.65597025394
4,3,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4792.750099378055
4,4,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4673.676913885714
4,5,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4614.211044757072
4,6,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4579.158107122596
4,7,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4588.278829662423
4,8,"div(add(CAPACITY, CAPACITY), DISTANCE)",-4081.289324682454,-4819.651641730283
4,9,"div(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE)",-4069.0124705568255,-4778.634236763945
4,10,"div(add(div(DISTANCE, DISTANCE), add(add(CAPACITY, DISTANCE), CAPACITY)), DISTANCE)",-4065.395074419015,-4682.3999050874
4,11,"div(mult(div(add(DISTANCE, INITIAL_CAPACITY), mult(DISTANCE, DISTANCE)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY))), DISTANCE)",-4057.8105323123227,-5330.853060868004
4,12,"div(mult(div(add(CAPACITY, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, DISTANCE)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY))), DISTANCE)",-4051.208581287655,-4581.907080267825
4,13,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4606.768536933844
4,14,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4290.012397434549
4,15,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4191.732857181838
4,16,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4276.58071394476
4,17,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4217.015447777911
4,18,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4698.237107295714
4,19,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4437.893482974813
4,20,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4286.157461322693
4,21,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4300.164598570944
4,22,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4321.482960184825
4,23,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4523.013385691244
4,24,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4222.848719914459
4,25,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4322.6986076418325
4,26,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4328.851925407236
4,27,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4294.121891391484
4,28,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), DISTANCE)",-4028.9764089958094,-4334.57782170344
4,29,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4278.121501839666
4,30,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4158.478876798543
4,31,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4121.376136304629
4,32,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4441.906923406742
4,33,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4348.74129720922
4,34,"div(add(add(div(DISTANCE, DISTANCE), CAPACITY), div(DISTANCE, DISTANCE)), add(add(div(DISTANCE, DISTANCE), CAPACITY), DISTANCE))",-4028.0942780797973,-4744.173074054062
