num_warehouses,num_customers,capacity_distribution,training_time
2,50,uniform,0.27000
2,50,uneven,0.27000
3,50,uniform,0.32000
3,50,uneven,0.31000
4,50,uniform,0.36000
4,50,uneven,0.36000
5,50,uniform,0.41000
5,50,uneven,0.41000
2,100,uniform,0.53000
2,100,uneven,0.53000
3,100,uniform,0.64000
3,100,uneven,0.63000
4,100,uniform,0.73000
4,100,uneven,0.72000
5,100,uniform,0.83000
5,100,uneven,0.82000
2,200,uniform,1.07000
2,200,uneven,1.06000
3,200,uniform,1.27000
3,200,uneven,1.26000
4,200,uniform,1.46000
4,200,uneven,1.45000
5,200,uniform,1.66000
5,200,uneven,1.66000
2,400,uniform,2.14000
2,400,uneven,2.13000
3,400,uniform,2.55000
3,400,uneven,2.54000
4,400,uniform,2.95000
4,400,uneven,2.92000
5,400,uniform,3.35000
5,400,uneven,3.34000
