iteration,mean_cost,theta
1,6331.275884961974,"0.0,0.0,0.0"
2,6280.68716411346,"0.8782,-0.0819,-0.157"
3,6334.0210531309185,"1.7545,-0.2621,-0.2028"
4,6311.362051071361,"2.598,-0.4369,-0.1739"
5,6311.112040991796,"3.449,-0.4908,-0.3603"
6,6325.79339732527,"4.2903,-0.6512,-0.3755"
7,6246.674926385262,"5.1253,-0.7986,-0.4397"
8,6302.648953705273,"5.9558,-0.9733,-0.4942"
9,6287.400137605176,"6.7875,-1.1192,-0.5785"
10,6258.821206052753,"7.598,-1.2854,-0.6058"
11,6213.638220590917,"8.4073,-1.4459,-0.6501"
12,6219.638983538594,"9.2071,-1.5663,-0.7522"
13,6155.324345031523,"10.0004,-1.7366,-0.7772"
14,6246.494065007805,"10.789,-1.8374,-0.9483"
15,6115.540866389105,"11.5733,-1.9499,-1.0769"
16,6092.156468219743,"12.3399,-2.0714,-1.185"
17,6157.263558738047,"13.1117,-2.2123,-1.2942"
18,6123.670174619169,"13.8788,-2.3043,-1.4775"
19,6118.425056990387,"14.6221,-2.4738,-1.5036"
20,6036.3435187978275,"15.3751,-2.6658,-1.5189"
21,6163.122263282654,"16.1027,-2.7935,-1.6049"
22,6033.845250616895,"16.8631,-2.9984,-1.6524"
23,6078.131487343246,"17.5861,-3.1839,-1.6817"
24,6103.189862162485,"18.3115,-3.3735,-1.7183"
25,6039.453974684988,"19.0256,-3.4309,-1.9181"
26,5920.80283490028,"19.743,-3.6348,-1.9311"
27,6077.518165627953,"20.4324,-3.8053,-1.9579"
28,5981.691903981078,"21.136,-3.9264,-2.0785"
29,5936.211960196537,"21.8312,-4.0255,-2.2329"
30,5895.033066878673,"22.5303,-4.1549,-2.3688"
31,5917.560078344887,"23.1978,-4.2345,-2.5424"
32,5919.951112210698,"23.8645,-4.3172,-2.7157"
33,5924.501949957107,"24.5273,-4.4249,-2.834"
34,5963.5705450651885,"25.1945,-4.5846,-2.9326"
35,5917.353427188,"25.8649,-4.7587,-3.0058"
36,5898.561742233787,"26.5171,-4.8979,-3.0839"
37,5833.743968200242,"27.1641,-5.0002,-3.2301"
38,5875.5362673773225,"27.7853,-5.0744,-3.3661"
39,5853.932036457775,"28.4121,-5.2577,-3.3734"
40,5823.362825384962,"29.0303,-5.25,-3.6399"
41,5938.222134397747,"29.65,-5.3423,-3.7801"
42,5838.435925625996,"30.2764,-5.4906,-3.8456"
43,5930.93439113723,"30.8729,-5.6573,-3.8341"
44,5828.253231147781,"31.4761,-5.814,-3.8545"
45,5899.324005412142,"32.051,-5.9189,-3.8753"
46,5816.550411444418,"32.6518,-6.0444,-3.9572"
47,5758.492570505921,"33.2046,-6.187,-3.9012"
48,5784.538342029417,"33.744,-6.221,-3.9676"
49,5776.0393497088235,"34.2941,-6.2745,-4.0695"
50,5811.367264745404,"34.8412,-6.3949,-4.0711"
51,5778.769631788706,"35.3979,-6.5178,-4.0874"
52,5758.6147977543405,"35.9086,-6.5797,-4.096"
53,5754.80568878272,"36.4194,-6.6064,-4.165"
54,5770.280536184728,"36.9013,-6.6901,-4.0887"
55,5708.8446108055205,"37.4018,-6.6878,-4.1843"
56,5763.030365531685,"37.8837,-6.6458,-4.2924"
57,5717.000054684975,"38.3949,-6.7212,-4.3241"
58,5730.14413602051,"38.8374,-6.7201,-4.2971"
59,5695.091617949819,"39.2699,-6.6991,-4.2801"
60,5704.705232400249,"39.7062,-6.7094,-4.2341"
61,5697.744048719819,"40.1066,-6.7826,-4.0062"
62,5753.793892466738,"40.5169,-6.6946,-4.0559"
63,5781.220737961843,"40.9481,-6.666,-4.0802"
64,5765.1431193451745,"41.3939,-6.6771,-4.0991"
65,5733.1362415719905,"41.7998,-6.7298,-3.9407"
66,5734.866473268696,"42.1678,-6.7375,-3.7646"
67,5712.18171285211,"42.4727,-6.4716,-3.8332"
68,5767.375349089552,"42.8131,-6.4264,-3.6984"
69,5739.135072917405,"43.183,-6.3078,-3.7307"
70,5712.78346875207,"43.5012,-6.2289,-3.5854"
71,5822.035114306673,"43.7543,-6.0329,-3.456"
72,5717.578836014492,"44.0873,-5.8337,-3.5411"
