iteration,mean_cost,theta
1,8118.795188464682,"0.0,0.0,0.0,0.0,0.0"
2,8021.194223583114,"0.0493,-0.1103,-0.0253,0.0039,0.9701"
3,8044.5942819585525,"0.0285,-0.0974,-0.0198,-0.1165,1.9692"
4,8008.992375535596,"0.1277,-0.1723,-0.0153,-0.2195,2.918"
5,8035.399187695483,"0.1005,-0.174,-0.0544,-0.2909,3.9182"
6,8112.160809410899,"0.1482,-0.3046,-0.1289,-0.2173,4.881"
7,8046.410327059831,"0.1541,-0.4141,-0.1846,-0.2057,5.9045"
8,7926.557115587554,"0.1937,-0.481,-0.1958,-0.294,6.9048"
9,8008.141421480043,"0.062,-0.4123,-0.2513,-0.2674,7.8694"
10,8001.826968977231,"-0.0194,-0.4553,-0.1962,-0.1613,8.7274"
11,8020.922929875341,"-0.0614,-0.4619,-0.0509,-0.1504,9.5229"
12,7957.714809178748,"0.0182,-0.5608,-0.0562,-0.04,10.3387"
13,7900.343130677481,"0.2103,-0.5951,-0.023,0.0105,11.0025"
14,8010.9789835130905,"0.1204,-0.6142,0.0368,0.2378,11.7136"
15,7991.140351879934,"0.4502,-0.4327,-0.0,0.1792,12.2062"
16,8017.79962438596,"0.5886,-0.1579,0.1336,0.0413,12.6986"
17,8066.261579453599,"0.6238,0.1181,0.3615,0.0751,13.0335"
18,7959.150454624053,"0.8338,0.1353,0.3529,0.1646,13.6075"
19,7972.299941155692,"1.1405,0.4324,0.4609,0.2525,13.6998"
20,7943.33248813815,"1.1435,0.5871,0.635,0.4293,14.067"
21,8025.884078293819,"1.1286,0.5924,0.9073,0.6283,14.462"
22,8052.512119146622,"1.4058,0.7897,0.884,0.9584,14.5519"
23,8013.750472563588,"1.6502,0.8296,0.9789,1.0533,14.932"
24,7974.473354466176,"1.8787,0.8181,1.0215,1.3313,15.2423"
25,7933.7520839592235,"1.8538,1.0268,1.2661,1.3605,15.6133"
26,7992.365750336723,"1.968,1.2131,1.3889,1.563,15.8146"
27,7977.926501481575,"1.9843,1.3789,1.5848,1.7282,16.0932"
28,7984.432821369555,"2.0584,1.7216,1.6233,1.9039,16.2736"
29,7988.234601551732,"2.1382,2.0592,1.7725,2.1481,16.271"
30,7995.8525617842815,"2.1904,2.3045,1.9251,2.4096,16.3611"
31,7979.643647997062,"2.323,2.2499,2.3576,2.6109,16.4345"
32,8049.673752933774,"2.5201,2.4598,2.4783,2.6364,16.6626"
33,7987.275534860765,"2.6049,2.6961,2.5675,2.7899,16.8827"
34,7918.648458916183,"2.7635,2.8839,2.8353,2.9142,16.9158"
35,7937.962377998014,"2.9988,2.8851,3.1671,3.1665,16.8472"
36,7986.481645424139,"2.9505,3.0736,3.2018,3.6337,16.9419"
37,7970.6593559742,"3.0511,3.4001,3.3182,3.5792,17.19"
38,7972.810300874499,"3.0901,3.4113,3.6579,3.7004,17.4086"
39,8034.734574393402,"3.0977,3.4873,3.8842,3.8819,17.643"
40,7998.4759754636625,"3.4786,3.5798,3.7293,4.1037,17.8239"
41,7986.367993661607,"3.626,3.7039,4.0537,4.1505,17.9012"
42,7914.1681088903815,"3.8701,3.8956,4.3211,3.9169,18.1285"
43,8000.638592311357,"3.8635,3.9838,4.6009,4.1389,18.237"
44,8040.485836246149,"4.0692,4.1482,4.6431,4.3021,18.3571"
45,8038.188748668223,"4.2563,4.4537,4.6087,4.3349,18.5516"
46,8009.8175453192,"4.3538,4.6579,4.8198,4.5986,18.4665"
47,7976.866378347528,"4.484,4.7273,4.7744,4.917,18.6673"
48,8016.582544600711,"4.5105,4.9642,4.9456,5.097,18.7206"
49,7932.8822460157635,"4.6941,4.8604,5.0278,5.4445,18.8738"
50,7982.909120838708,"4.6215,5.1365,5.2212,5.5301,19.0365"
51,8021.4320657545295,"5.1218,5.2185,5.2209,5.4524,19.1703"
52,7990.182396506555,"5.3147,5.39,5.377,5.4882,19.261"
53,7952.463649735803,"5.4163,5.5775,5.3588,5.6193,19.4926"
54,8053.812985436953,"5.7585,5.6772,5.3767,5.5851,19.6823"
55,7970.439980846559,"5.607,5.8341,5.6361,5.7601,19.8685"
56,7991.190242470434,"5.7332,5.9502,5.8312,5.9255,19.8838"
57,8023.147669217728,"5.7818,6.0424,6.0189,5.9828,20.1065"
58,7980.019678133976,"5.9895,6.1102,6.0668,6.2545,20.1225"
59,8042.1441398170455,"5.935,6.2613,6.2224,6.5514,20.1718"
60,7978.201798127212,"6.1321,6.1914,6.344,6.6071,20.4566"
61,7954.76706737136,"6.1379,6.4223,6.4306,6.9522,20.3731"
62,7970.82464032924,"6.0731,6.5541,6.4933,7.1989,20.5677"
63,8062.781199605573,"6.4146,6.6295,6.4133,7.2963,20.6994"
64,7954.671302643393,"6.5173,6.8827,6.4094,7.4644,20.7553"
65,7939.31252540312,"6.697,6.959,6.7479,7.3359,20.8469"
66,8010.2866502243405,"6.8749,6.8926,6.8915,7.4881,20.9874"
67,7965.722194105932,"6.841,7.3027,6.9606,7.5117,21.0721"
68,8019.92702017359,"6.8796,7.2403,7.2489,7.5095,21.3422"
69,8003.163047410015,"7.1422,7.2697,7.5255,7.3711,21.4508"
70,8002.907839768924,"7.2466,7.4994,7.5687,7.3659,21.6153"
71,7993.140902481284,"7.5562,7.6757,7.5423,7.3414,21.7099"
72,8061.200065680407,"7.8443,7.5598,7.7662,7.416,21.7628"
73,7983.581151479053,"8.0191,7.4316,7.8835,7.7162,21.8212"
74,8009.53583123167,"8.2517,7.442,8.0401,7.9486,21.7044"
75,8006.28875188781,"8.4444,7.638,8.0415,7.9681,21.8066"
76,7990.903047290496,"8.5869,7.8444,7.9277,8.1324,21.9136"
77,8010.502560012019,"8.6658,8.0269,8.013,8.2059,21.9968"
78,7943.186437332839,"8.6798,8.3151,7.9769,8.3297,22.1017"
79,7940.5359280780385,"9.0052,8.2566,7.9471,8.4373,22.2386"
80,7988.9506008807975,"9.0961,8.2628,8.0784,8.4941,22.4289"
81,7986.465569823333,"8.9517,8.5086,8.0363,8.6581,22.6776"
82,7979.575934628768,"8.8923,8.6745,8.2242,8.8003,22.7174"
83,7990.435549228074,"8.8665,8.818,8.4562,8.9482,22.6926"
84,7986.6966464106845,"8.6167,9.0296,8.6528,9.0344,22.9071"
85,8039.319278408465,"8.9555,9.0118,8.6645,9.0754,22.9947"
86,8047.56222783884,"9.2199,8.9615,8.9843,8.9799,23.0157"
87,8030.107918098756,"9.2681,8.8016,9.2211,9.0591,23.2649"
88,8014.954228848205,"9.0133,8.9181,9.4385,9.1684,23.5176"
89,8056.758298428344,"9.1331,8.8473,9.5216,9.501,23.499"
90,8084.076220427109,"9.2031,8.9007,9.7381,9.5042,23.6039"
91,8028.530675961486,"9.272,9.3506,9.6714,9.5457,23.5523"
92,7985.978635787361,"9.3436,9.5869,9.7406,9.6356,23.5208"
93,7951.001446880412,"9.3116,9.7774,9.7676,9.6099,23.7768"
94,7983.322759306419,"9.514,9.8538,9.6509,9.6946,23.9389"
95,8013.894631334725,"9.565,10.0993,9.6097,9.7254,24.066"
96,8026.6613489643405,"9.7591,10.1525,9.8047,9.7747,23.9928"
97,7965.918886249057,"9.8078,10.1762,9.9305,9.9466,24.0384"
98,8009.727354373344,"10.0191,10.3796,10.0537,9.7616,24.0839"
99,8108.747711216042,"10.3161,10.4509,10.2236,9.6772,24.0331"
100,7966.775711263953,"10.1386,10.5552,10.3066,9.8762,24.2288"
101,8032.458863686817,"10.2482,10.3587,10.4359,10.2353,24.2117"
102,8067.267137545784,"10.409,10.2646,10.5528,10.2308,24.4207"
