num_warehouses,num_customers,capacity_distribution,theta
2,50,uniform,"57.0082,56.6035"
2,50,uneven,"72.917,29.7996"
3,50,uniform,"55.8064,31.2146,52.7538"
3,50,uneven,"73.9915,24.8165,27.2218"
4,50,uniform,"42.5647,43.0548,37.3921,37.5427"
4,50,uneven,"63.0649,54.8654,18.2642,-5.841"
5,50,uniform,"36.1741,36.1019,36.2473,36.343,46.9368"
5,50,uneven,"59.1524,45.826,26.493,12.9788,29.7455"
2,100,uniform,"46.4279,46.944"
2,100,uneven,"62.9993,18.0047"
3,100,uniform,"47.2046,19.8447,45.5937"
3,100,uneven,"66.2968,14.3689,15.4397"
4,100,uniform,"31.495,31.4688,31.6066,31.2467"
4,100,uneven,"55.2488,46.7419,7.1694,-19.3558"
5,100,uniform,"27.0286,27.7152,27.5235,26.8307,40.2242"
5,100,uneven,"48.5869,40.3666,17.7176,3.8306,21.3424"
2,200,uniform,"34.2212,33.8221"
2,200,uneven,"50.2254,3.1853"
3,200,uniform,"36.5504,9.1839,35.0925"
3,200,uneven,"56.0919,1.8053,3.1172"
4,200,uniform,"22.342,21.7592,21.4054,21.9918"
4,200,uneven,"46.0036,37.1629,-6.0971,-31.9502"
5,200,uniform,"18.2069,17.6301,17.4235,18.0564,32.1144"
5,200,uneven,"40.8294,31.1833,6.2229,-6.9114,11.9301"
2,400,uniform,"21.0682,21.141"
2,400,uneven,"36.3764,-10.2118"
3,400,uniform,"25.9902,-1.698,25.0255"
3,400,uneven,"45.0296,-9.3088,-9.1917"
4,400,uniform,"13.135,13.0751,13.3765,12.82"
4,400,uneven,"35.8926,27.7984,-15.9248,-43.541"
5,400,uniform,"9.4846,9.5435,9.6307,8.9565,24.0919"
5,400,uneven,"32.2039,23.0375,-2.0408,-17.1379,3.3909"
