num_warehouses,num_customers,capacity_distribution,param,mean_reward,std_reward,all_rewards
2,50,uniform,1.0,-3267.67,212.25,"[np.float64(-3165.746976702621), np.float64(-3490.914458521465), np.float64(-3535.5473401652835), np.float64(-3209.912463795636), np.float64(-3271.5017853199593), np.float64(-3404.0416357876693), np.float64(-3438.998286353775), np.float64(-3199.8235678810956), np.float64(-3777.926526421207), np.float64(-3323.0308822406187), np.float64(-3212.638856396271), np.float64(-3467.3856263742423), np.float64(-3180.7948445440143), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3406.2826199945835), np.float64(-3259.1907371487446), np.float64(-3144.5699552366277), np.float64(-3040.7954735462417), np.float64(-3008.6073308305595), np.float64(-3356.19746350029), np.float64(-3336.4426698577117), np.float64(-3252.5328227364876), np.float64(-3337.403582967074), np.float64(-2931.453791461846), np.float64(-3235.6022143054424), np.float64(-3670.987484547702), np.float64(-3124.0996579118405), np.float64(-3707.4241340823646), np.float64(-3200.0598375531845), np.float64(-3412.6944834853402), np.float64(-3091.7232687379606), np.float64(-3036.264514873764), np.float64(-3198.04542624083), np.float64(-3023.7397179479663), np.float64(-3110.270279492168), np.float64(-3003.5611623193577), np.float64(-3076.5265005549372), np.float64(-3193.7289769222484), np.float64(-3190.957713745792), np.float64(-3106.4706296960094), np.float64(-3712.2937080538086), np.float64(-2881.5439431454415), np.float64(-3456.1786978779996), np.float64(-3448.7257807329725), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3251.9802764560504), np.float64(-3143.143650448505), np.float64(-3608.3736320605262)]"
2,50,uniform,1.02,-3269.5,212.43,"[np.float64(-3165.746976702621), np.float64(-3482.2809014543604), np.float64(-3535.5473401652835), np.float64(-3209.912463795636), np.float64(-3271.5017853199593), np.float64(-3404.0416357876693), np.float64(-3438.998286353775), np.float64(-3199.8235678810956), np.float64(-3804.8065953159994), np.float64(-3323.0308822406187), np.float64(-3212.638856396271), np.float64(-3438.6933588420925), np.float64(-3180.7948445440143), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3406.2826199945835), np.float64(-3340.450959024831), np.float64(-3144.5699552366277), np.float64(-3040.7954735462417), np.float64(-3008.6073308305595), np.float64(-3356.19746350029), np.float64(-3317.872119789062), np.float64(-3149.6483123247986), np.float64(-3372.4220942797488), np.float64(-2931.453791461846), np.float64(-3235.6022143054424), np.float64(-3670.987484547702), np.float64(-3124.0996579118405), np.float64(-3706.0044596254247), np.float64(-3200.0598375531845), np.float64(-3412.6944834853402), np.float64(-3091.7232687379606), np.float64(-3036.264514873764), np.float64(-3198.04542624083), np.float64(-3023.7397179479663), np.float64(-3110.270279492168), np.float64(-3003.5611623193577), np.float64(-3076.5265005549372), np.float64(-3206.6287245727226), np.float64(-3190.957713745792), np.float64(-3130.466622113143), np.float64(-3690.5009490379152), np.float64(-2881.5439431454415), np.float64(-3456.1786978779996), np.float64(-3448.7257807329725), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3251.9802764560504), np.float64(-3222.5578491102847), np.float64(-3622.615103001971)]"
2,50,uniform,1.04,-3270.93,209.69,"[np.float64(-3159.193774221292), np.float64(-3482.2809014543604), np.float64(-3519.4579244465863), np.float64(-3223.874950208248), np.float64(-3271.5017853199593), np.float64(-3404.0416357876693), np.float64(-3438.998286353775), np.float64(-3199.8235678810956), np.float64(-3804.8065953159994), np.float64(-3342.1061676822683), np.float64(-3212.638856396271), np.float64(-3438.6933588420925), np.float64(-3180.7948445440143), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3406.2826199945835), np.float64(-3340.450959024831), np.float64(-3144.5699552366277), np.float64(-3040.7954735462417), np.float64(-3008.6073308305595), np.float64(-3356.19746350029), np.float64(-3317.872119789062), np.float64(-3149.6483123247986), np.float64(-3362.405185690104), np.float64(-2931.453791461846), np.float64(-3235.6022143054424), np.float64(-3670.987484547702), np.float64(-3125.3524058263874), np.float64(-3706.0044596254247), np.float64(-3200.0598375531845), np.float64(-3432.230480042609), np.float64(-3091.7232687379606), np.float64(-3036.264514873764), np.float64(-3198.04542624083), np.float64(-3023.7397179479663), np.float64(-3110.270279492168), np.float64(-3003.5611623193577), np.float64(-3076.5265005549372), np.float64(-3206.6287245727226), np.float64(-3190.957713745792), np.float64(-3130.466622113143), np.float64(-3690.5009490379152), np.float64(-2958.7938480680778), np.float64(-3456.1786978779996), np.float64(-3448.7257807329725), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3251.9802764560504), np.float64(-3201.276462598309), np.float64(-3617.0807776347465)]"
2,50,uniform,1.06,-3277.07,208.95,"[np.float64(-3239.904073572264), np.float64(-3482.2809014543604), np.float64(-3519.4579244465863), np.float64(-3223.874950208248), np.float64(-3271.5017853199593), np.float64(-3404.0416357876693), np.float64(-3438.998286353775), np.float64(-3304.788521134319), np.float64(-3804.8065953159994), np.float64(-3342.1061676822683), np.float64(-3203.529176704377), np.float64(-3438.6933588420925), np.float64(-3180.7948445440143), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3406.2826199945835), np.float64(-3341.2134313922825), np.float64(-3144.5699552366277), np.float64(-3040.7954735462417), np.float64(-3073.072856468434), np.float64(-3356.19746350029), np.float64(-3317.872119789062), np.float64(-3149.6483123247986), np.float64(-3362.405185690104), np.float64(-2931.453791461846), np.float64(-3235.6022143054424), np.float64(-3670.987484547702), np.float64(-3160.055970342567), np.float64(-3709.2547357310186), np.float64(-3200.0598375531845), np.float64(-3468.804982776895), np.float64(-3091.7232687379606), np.float64(-3017.288153497864), np.float64(-3198.04542624083), np.float64(-3023.7397179479663), np.float64(-3095.5422969290375), np.float64(-3003.5611623193577), np.float64(-3076.5265005549372), np.float64(-3206.6287245727226), np.float64(-3200.5148607910237), np.float64(-3130.466622113143), np.float64(-3690.5009490379152), np.float64(-2958.7938480680778), np.float64(-3456.1786978779996), np.float64(-3448.7257807329725), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3251.9802764560504), np.float64(-3201.276462598309), np.float64(-3631.790487838903)]"
2,50,uniform,1.08,-3282.8,210.75,"[np.float64(-3239.904073572264), np.float64(-3482.2809014543604), np.float64(-3519.4579244465863), np.float64(-3223.874950208248), np.float64(-3321.4053667991266), np.float64(-3441.198347991585), np.float64(-3438.998286353775), np.float64(-3304.788521134319), np.float64(-3804.8065953159994), np.float64(-3342.1061676822683), np.float64(-3203.529176704377), np.float64(-3438.6933588420925), np.float64(-3157.5516310023627), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3406.2826199945835), np.float64(-3341.2134313922825), np.float64(-3160.2113095297404), np.float64(-3040.7954735462417), np.float64(-3073.072856468434), np.float64(-3356.19746350029), np.float64(-3317.872119789062), np.float64(-3149.6483123247986), np.float64(-3362.405185690104), np.float64(-2931.453791461846), np.float64(-3261.0874235720476), np.float64(-3728.198168466282), np.float64(-3160.055970342567), np.float64(-3709.2547357310186), np.float64(-3200.0598375531845), np.float64(-3468.804982776895), np.float64(-3091.7232687379606), np.float64(-3017.288153497864), np.float64(-3198.04542624083), np.float64(-3023.7397179479663), np.float64(-3095.5422969290375), np.float64(-3064.560359002155), np.float64(-3076.5265005549372), np.float64(-3206.6287245727226), np.float64(-3200.5148607910237), np.float64(-3148.755113306617), np.float64(-3690.5009490379152), np.float64(-2958.7938480680778), np.float64(-3456.1786978779996), np.float64(-3484.686134054195), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3260.73226334092), np.float64(-3201.276462598309), np.float64(-3631.790487838903)]"
2,50,uniform,1.1,-3288.08,214.5,"[np.float64(-3239.904073572264), np.float64(-3482.2809014543604), np.float64(-3539.2629039364397), np.float64(-3223.874950208248), np.float64(-3321.4053667991266), np.float64(-3454.4352171249507), np.float64(-3438.998286353775), np.float64(-3312.3142728477515), np.float64(-3813.7603666891764), np.float64(-3454.783353280529), np.float64(-3203.529176704377), np.float64(-3453.57025794789), np.float64(-3157.5516310023627), np.float64(-2931.4434901745717), np.float64(-3448.8914513035593), np.float64(-3421.1748091461336), np.float64(-3414.842013284385), np.float64(-3160.2113095297404), np.float64(-3072.5662584508905), np.float64(-3073.072856468434), np.float64(-3356.19746350029), np.float64(-3317.872119789062), np.float64(-3149.6483123247986), np.float64(-3397.423697002779), np.float64(-2931.453791461846), np.float64(-3261.0874235720476), np.float64(-3728.198168466282), np.float64(-3160.055970342567), np.float64(-3709.2547357310186), np.float64(-3200.0598375531845), np.float64(-3468.804982776895), np.float64(-3091.7232687379606), np.float64(-3017.288153497864), np.float64(-3198.04542624083), np.float64(-3008.110730284268), np.float64(-3111.625444710749), np.float64(-3064.560359002155), np.float64(-3168.7338009804716), np.float64(-3115.6211837890733), np.float64(-3200.5148607910237), np.float64(-3080.1021182695076), np.float64(-3674.681901180402), np.float64(-2958.7938480680778), np.float64(-3456.1786978779996), np.float64(-3484.686134054195), np.float64(-3323.9050203614447), np.float64(-3043.0187704924206), np.float64(-3260.73226334092), np.float64(-3201.276462598309), np.float64(-3646.229690698882)]"
2,50,uneven,1.0,-3485.22,242.67,"[np.float64(-3272.447247888051), np.float64(-3574.0927025031338), np.float64(-3631.780993444511), np.float64(-3380.8716728688146), np.float64(-3621.2089357449695), np.float64(-3693.964059353149), np.float64(-3505.2686725264243), np.float64(-3137.011109219004), np.float64(-4172.509577363452), np.float64(-3923.9384621805025), np.float64(-3586.944191780226), np.float64(-3545.5947150695847), np.float64(-3550.4957393221193), np.float64(-3214.863909979411), np.float64(-3712.2337444779573), np.float64(-3622.9207552961584), np.float64(-3874.337810453362), np.float64(-3516.1447546739882), np.float64(-3367.080882431096), np.float64(-3092.151367616135), np.float64(-3697.3599417143237), np.float64(-3502.9420157298246), np.float64(-3240.58730539335), np.float64(-3387.5008738313086), np.float64(-3270.223900594856), np.float64(-3349.947194383796), np.float64(-3630.843044427798), np.float64(-3414.3513759552684), np.float64(-3711.883479639146), np.float64(-3777.07535399901), np.float64(-3456.6416208087808), np.float64(-3296.7881415502684), np.float64(-3474.513044576233), np.float64(-3473.999084941435), np.float64(-3267.921401058428), np.float64(-3536.2487136508366), np.float64(-3253.3658092127475), np.float64(-3044.397434322803), np.float64(-3500.4066334566037), np.float64(-3480.891248531816), np.float64(-3196.0685292712114), np.float64(-3803.890940462239), np.float64(-2841.8050152971746), np.float64(-3539.2813045744238), np.float64(-3618.696198270079), np.float64(-3635.8372170932266), np.float64(-3310.22984877353), np.float64(-3374.7314021587667), np.float64(-3319.5385659158324), np.float64(-3856.94254748374)]"
2,50,uneven,1.02,-3486.65,241.26,"[np.float64(-3272.447247888051), np.float64(-3574.0927025031338), np.float64(-3631.780993444511), np.float64(-3380.8716728688146), np.float64(-3634.719612706395), np.float64(-3693.964059353149), np.float64(-3505.2686725264243), np.float64(-3137.011109219004), np.float64(-4173.74772101562), np.float64(-3923.9384621805025), np.float64(-3586.944191780226), np.float64(-3545.5947150695847), np.float64(-3550.4957393221193), np.float64(-3214.863909979411), np.float64(-3712.2337444779573), np.float64(-3622.9207552961584), np.float64(-3874.337810453362), np.float64(-3516.1447546739882), np.float64(-3365.7223628740153), np.float64(-3092.151367616135), np.float64(-3697.3599417143237), np.float64(-3470.0157202626024), np.float64(-3240.58730539335), np.float64(-3387.5008738313086), np.float64(-3270.223900594856), np.float64(-3349.947194383796), np.float64(-3630.843044427798), np.float64(-3414.3513759552684), np.float64(-3711.883479639146), np.float64(-3777.07535399901), np.float64(-3456.6416208087808), np.float64(-3296.7881415502684), np.float64(-3474.513044576233), np.float64(-3473.999084941435), np.float64(-3267.921401058428), np.float64(-3536.2487136508366), np.float64(-3287.3255785917), np.float64(-3033.8227767006047), np.float64(-3500.4066334566037), np.float64(-3480.891248531816), np.float64(-3220.064521688345), np.float64(-3803.890940462239), np.float64(-2841.8050152971746), np.float64(-3539.2813045744238), np.float64(-3626.472322174889), np.float64(-3608.6444235086456), np.float64(-3310.22984877353), np.float64(-3358.7277722673775), np.float64(-3398.952764577612), np.float64(-3856.94254748374)]"
2,50,uneven,1.04,-3486.22,242.77,"[np.float64(-3272.447247888051), np.float64(-3574.0927025031338), np.float64(-3631.780993444511), np.float64(-3371.598256541856), np.float64(-3627.6037886314375), np.float64(-3693.964059353149), np.float64(-3505.2686725264243), np.float64(-3137.011109219004), np.float64(-4170.996340195215), np.float64(-3923.9384621805025), np.float64(-3586.944191780226), np.float64(-3545.5947150695847), np.float64(-3550.4957393221193), np.float64(-3214.863909979411), np.float64(-3712.2337444779573), np.float64(-3647.409959577087), np.float64(-3874.337810453362), np.float64(-3566.983138407192), np.float64(-3365.7223628740153), np.float64(-3092.151367616135), np.float64(-3707.131143122432), np.float64(-3470.0157202626024), np.float64(-3240.58730539335), np.float64(-3349.948733786817), np.float64(-3270.223900594856), np.float64(-3349.947194383796), np.float64(-3630.843044427798), np.float64(-3414.3513759552684), np.float64(-3704.520138429626), np.float64(-3777.07535399901), np.float64(-3456.6416208087808), np.float64(-3297.307062151916), np.float64(-3469.262245331984), np.float64(-3473.999084941435), np.float64(-3267.921401058428), np.float64(-3536.2487136508366), np.float64(-3287.3255785917), np.float64(-3020.148572810381), np.float64(-3500.4066334566037), np.float64(-3474.665476996721), np.float64(-3220.064521688345), np.float64(-3803.890940462239), np.float64(-2841.8050152971746), np.float64(-3539.732290730107), np.float64(-3626.472322174889), np.float64(-3608.6444235086456), np.float64(-3310.22984877353), np.float64(-3340.111032733915), np.float64(-3398.952764577612), np.float64(-3856.94254748374)]"
2,50,uneven,1.06,-3487.86,251.15,"[np.float64(-3272.447247888051), np.float64(-3574.0927025031338), np.float64(-3631.780993444511), np.float64(-3377.111944588657), np.float64(-3627.6037886314375), np.float64(-3695.464486573637), np.float64(-3505.2686725264243), np.float64(-3137.011109219004), np.float64(-4170.996340195215), np.float64(-3984.5439325699226), np.float64(-3586.944191780226), np.float64(-3599.0811128282044), np.float64(-3600.1872302455176), np.float64(-3251.1260501078123), np.float64(-3712.2337444779573), np.float64(-3647.409959577087), np.float64(-3874.337810453362), np.float64(-3566.983138407192), np.float64(-3365.7223628740153), np.float64(-3075.3003353532167), np.float64(-3701.1578302269045), np.float64(-3467.1870555113633), np.float64(-3123.868112309891), np.float64(-3349.948733786817), np.float64(-3270.223900594856), np.float64(-3349.947194383796), np.float64(-3630.843044427798), np.float64(-3414.3513759552684), np.float64(-3704.520138429626), np.float64(-3777.07535399901), np.float64(-3456.6416208087808), np.float64(-3231.5913326714735), np.float64(-3469.262245331984), np.float64(-3473.999084941435), np.float64(-3278.927461626205), np.float64(-3536.2487136508366), np.float64(-3287.3255785917), np.float64(-3015.5653927875383), np.float64(-3500.4066334566037), np.float64(-3528.601947496272), np.float64(-3189.973005869316), np.float64(-3803.890940462239), np.float64(-2841.8050152971746), np.float64(-3541.8978412240535), np.float64(-3665.1732593558327), np.float64(-3608.6444235086456), np.float64(-3310.22984877353), np.float64(-3340.111032733915), np.float64(-3398.952764577612), np.float64(-3869.2147616154302)]"
