num_warehouses,num_customers,capacity_distribution,best_param,mean_reward,std_reward
2,50,uniform,1.0,-3267.67,212.25
2,50,uneven,1.0,-3485.22,242.67
2,100,uniform,1.02,-6466.62,296.98
2,100,uneven,1.08,-6875.29,315.61
2,200,uniform,1.02,-12800.85,473.71
2,200,uneven,1.0,-13665.02,461.24
2,400,uniform,1.0,-25422.71,658.03
2,400,uneven,1.02,-27187.56,684.43
3,50,uniform,1.06,-2633.28,227.39
3,50,uneven,1.1,-2867.63,236.25
3,100,uniform,1.04,-5147.91,313.15
3,100,uneven,1.06,-5602.33,315.68
3,200,uniform,1.08,-10077.14,398.55
3,200,uneven,1.08,-11050.57,452.59
3,400,uniform,1.04,-19917.24,495.29
3,400,uneven,1.06,-21948.88,600.47
4,50,uniform,1.08,-2213.93,134.8
4,50,uneven,1.04,-2512.34,194.99
4,100,uniform,1.06,-4187.0,163.74
4,100,uneven,1.04,-4827.19,234.48
4,200,uniform,1.04,-8125.07,214.27
4,200,uneven,1.06,-9480.94,418.34
4,400,uniform,1.06,-15790.73,337.2
4,400,uneven,1.04,-18675.39,534.5
5,50,uniform,1.1,-2111.25,142.33
5,50,uneven,1.06,-2198.38,181.99
5,100,uniform,1.02,-3991.32,169.53
5,100,uneven,1.1,-4126.53,201.62
5,200,uniform,1.06,-7692.97,249.84
5,200,uneven,1.08,-8045.42,307.43
5,400,uniform,1.04,-14950.18,301.05
5,400,uneven,1.02,-15624.91,403.46
