num_warehouses,num_customers,capacity_distribution,training_time
2,50,uniform,0.52000
2,50,uneven,0.53000
2,100,uniform,1.02000
2,100,uneven,1.04000
2,200,uniform,2.01000
2,200,uneven,2.07000
2,400,uniform,4.03000
2,400,uneven,4.11000
3,50,uniform,0.74000
3,50,uneven,0.75000
3,100,uniform,1.48000
3,100,uneven,1.50000
3,200,uniform,2.95000
3,200,uneven,2.99000
3,400,uniform,5.92000
3,400,uneven,5.99000
4,50,uniform,0.97000
4,50,uneven,1.00000
4,100,uniform,1.90000
4,100,uneven,1.96000
4,200,uniform,3.81000
4,200,uneven,3.81000
4,400,uniform,7.44000
4,400,uneven,7.57000
5,50,uniform,1.19000
5,50,uneven,1.19000
5,100,uniform,2.28000
5,100,uneven,2.29000
5,200,uniform,4.51000
5,200,uneven,4.61000
5,400,uniform,9.10000
5,400,uneven,9.04000
