num_warehouses,num_customers,capacity_distribution,training_time
2,50,uniform,12.22
2,50,uneven,12.07
2,100,uniform,23.8
2,100,uneven,23.82
2,200,uniform,47.92
2,200,uneven,47.93
2,400,uniform,98.04
2,400,uneven,98.46
3,50,uniform,12.2
3,50,uneven,12.25
3,100,uniform,24
3,100,uneven,24.56
3,200,uniform,48.31
3,200,uneven,48.2
3,400,uniform,98.16
3,400,uneven,98.94
4,50,uniform,12.16
4,50,uneven,12.06
4,100,uniform,24.24
4,100,uneven,24.01
4,200,uniform,48.45
4,200,uneven,48.02
4,400,uniform,97.8
4,400,uneven,98.04
5,50,uniform,12.09
5,50,uneven,12.04
5,100,uniform,24.05
5,100,uneven,24.16
5,200,uniform,48.27
5,200,uneven,47.91
5,400,uniform,98.76
5,400,uneven,94.8
