Wall time,Step,Value
1789602030.709667,12288,-41.745662689208984
1789602031.294144,14336,-40.5550651550293
1789602033.638088,22528,-35.578529357910156
1789602034.2236412,24576,-34.778297424316406
1789602035.975213,30720,-33.97978973388672
1789602036.560131,32768,-33.90891647338867
1789602038.3164039,38912,-33.54399490356445
1789602038.906999,40960,-33.48582077026367
1789602039.4906619,43008,-33.4136848449707
1789602041.826476,51200,-33.30244827270508
1789602047.1101198,69632,-33.17485809326172
1789602048.858738,75776,-33.39738082885742
1789602051.190965,83968,-33.358516693115234
1789602052.358609,88064,-33.090309143066406
1789602053.523811,92160,-33.06365966796875
1789602054.109791,94208,-33.117244720458984
1789602055.280092,98304,-33.15000534057617
1789602056.446317,102400,-33.175472259521484
1789602058.782134,110592,-33.260223388671875
1789602059.367672,112640,-33.235870361328125
1789602059.952242,114688,-32.929466247558594
1789602060.535692,116736,-33.12199401855469
1789602061.118409,118784,-33.04458999633789
1789602064.625244,131072,-33.423648834228516
1789602065.794614,135168,-33.039066314697266
1789602066.379004,137216,-33.03313064575195
1789602066.9636538,139264,-32.912086486816406
1789602067.547395,141312,-32.874671936035156
1789602069.296879,147456,-32.82636642456055
1789602069.881552,149504,-32.900699615478516
1789602070.4654348,151552,-32.66856384277344
1789602071.049207,153600,-32.77186965942383
1789602073.966014,163840,-32.70164108276367
1789602076.882884,174080,-32.564090728759766
1789602078.6302762,180224,-32.79497528076172
1789602079.2118762,182272,-32.786094665527344
1789602082.7068858,194560,-33.046566009521484
1789602087.393919,210944,-33.057098388671875
1789602089.1387331,217088,-32.92547607421875
1789602089.721492,219136,-33.126346588134766
1789602093.804917,233472,-33.12965393066406
1789602095.561873,239616,-32.96064376831055
1789602096.730516,243712,-32.88886642456055
1789602100.818783,258048,-32.998146057128906
1789602101.403432,260096,-33.03654861450195
1789602103.1556711,266240,-33.06825256347656
1789602103.740269,268288,-33.04379653930664
1789602107.836595,282624,-33.14950942993164
1789602109.0073411,286720,-33.201026916503906
1789602110.175764,290816,-33.131534576416016
1789602110.760206,292864,-33.01663589477539
1789602111.344817,294912,-33.05108642578125
1789602115.4362721,309248,-32.52748107910156
1789602118.3580449,319488,-32.988136291503906
1789602119.5274482,323584,-32.871788024902344
1789602120.111064,325632,-32.96747589111328
1789602120.695315,327680,-32.827274322509766
1789602122.446966,333824,-32.69948959350586
1789602124.2184262,339968,-32.949485778808594
1789602125.3809578,344064,-32.97557067871094
1789602125.969323,346112,-32.869171142578125
1789602127.7126021,352256,-32.57394027709961
1789602131.210252,364544,-32.74994659423828
1789602131.7926452,366592,-32.82102966308594
1789602132.957783,370688,-32.79777526855469
1789602134.707516,376832,-32.977088928222656
1789602135.8780868,380928,-33.10354995727539
1789602136.462743,382976,-32.97935104370117
1789602137.631348,387072,-32.90679931640625
1789602138.799753,391168,-32.91630172729492
1789602139.3833191,393216,-33.01363754272461
1789602143.469035,407552,-33.045108795166016
1789602148.1497731,423936,-33.31795120239258
1789602148.73338,425984,-33.19502258300781
1789602149.317777,428032,-33.230079650878906
1789602151.652885,436224,-32.904964447021484
1789602157.520438,456704,-32.97346878051758
1789602158.106612,458752,-32.94441223144531
1789602159.281837,462848,-33.040164947509766
1789602160.451911,466944,-32.7381477355957
1789602161.6393092,471040,-32.606815338134766
1789602163.391057,477184,-32.6074104309082
1789602163.9733849,479232,-32.70949935913086
1789602164.556872,481280,-32.60589599609375
1789602166.308445,487424,-32.90623474121094
1789602172.148083,507904,-32.9869499206543
1789602173.31534,512000,-33.086727142333984
1789602176.822348,524288,-32.89110565185547
1789602178.5733929,530432,-32.885799407958984
1789602179.1560671,532480,-32.870384216308594
1789602179.742626,534528,-33.0036735534668
1789602180.324373,536576,-32.97956466674805
1789602181.492812,540672,-32.98336410522461
1789602183.832117,548864,-33.013572692871094
1789602185.001339,552960,-32.6843147277832
1789602186.173671,557056,-32.624122619628906
1789602187.340609,561152,-32.89295196533203
1789602190.268565,571392,-33.064212799072266
1789602193.778603,583680,-32.79277801513672
1789602197.869749,598016,-33.05764389038086
1789602198.45328,600064,-33.10520935058594
1789602201.39696,610304,-32.951412200927734
1789602201.9813702,612352,-32.908443450927734
1789602203.735202,618496,-32.71295928955078
1789602204.319359,620544,-32.77235794067383
1789602204.9009988,622592,-32.825645446777344
1789602207.235153,630784,-32.993160247802734
1789602207.820919,632832,-32.98000717163086
1789602208.989196,636928,-32.8974609375
1789602210.73682,643072,-32.866939544677734
1789602213.077792,651264,-33.125396728515625
1789602213.663829,653312,-33.25361633300781
1789602214.24915,655360,-33.18224334716797
1789602214.834425,657408,-33.22249984741211
1789602216.002697,661504,-33.04253005981445
1789602217.75854,667648,-32.94185256958008
1789602218.34477,669696,-32.90219497680664
1789602218.942055,671744,-32.834938049316406
1789602220.694178,677888,-32.962093353271484
1789602222.446916,684032,-33.020050048828125
1789602225.96258,696320,-32.966373443603516
1789602227.133693,700416,-32.670230865478516
1789602228.885302,706560,-32.69236755371094
1789602229.47071,708608,-32.71438980102539
1789602230.6403599,712704,-32.887062072753906
1789602231.224323,714752,-32.7758903503418
1789602234.147944,724992,-32.80185317993164
1789602234.7339141,727040,-32.74697494506836
1789602237.07483,735232,-33.1611328125
1789602238.265397,739328,-33.20981979370117
1789602240.015281,745472,-32.925559997558594
1789602242.351887,753664,-33.00473403930664
1789602244.682963,761856,-33.02298355102539
1789602245.8523939,765952,-33.26069259643555
1789602248.190868,774144,-33.453269958496094
1789602248.774156,776192,-33.39740753173828
1789602249.367393,778240,-33.38266372680664
1789602250.5430589,782336,-33.39559555053711
1789602251.126772,784384,-33.34772872924805
1789602253.473421,792576,-33.14914321899414
1789602254.057411,794624,-33.00455856323242
1789602256.391951,802816,-33.035587310791016
1789602256.9770088,804864,-32.94737243652344
1789602257.560608,806912,-32.97746658325195
1789602263.411205,827392,-33.01168441772461
1789602266.330928,837632,-32.906105041503906
1789602270.4202309,851968,-33.13679885864258
1789602271.027561,854016,-32.89421844482422
1789602273.9390159,864256,-32.88856887817383
1789602274.5237708,866304,-32.94439697265625
1789602275.692101,870400,-33.00353240966797
1789602276.8626828,874496,-32.62230682373047
1789602279.205699,882688,-32.9593391418457
1789602284.4814348,901120,-32.740997314453125
1789602285.65211,905216,-33.30242156982422
1789602286.238131,907264,-33.30335998535156
1789602287.988657,913408,-33.05479049682617
1789602291.500598,925696,-33.018272399902344
1789602295.592981,940032,-32.95786666870117
1789602296.17873,942080,-33.12710952758789
1789602296.764321,944128,-33.03782272338867
1789602297.3499641,946176,-32.995113372802734
1789602298.520489,950272,-32.932647705078125
1789602299.105033,952320,-32.85775375366211
1789602300.8603158,958464,-33.27684783935547
1789602301.444253,960512,-33.239376068115234
1789602304.364201,970752,-33.12189483642578
1789602304.948607,972800,-33.041481018066406
1789602311.392125,995328,-32.996952056884766
1789602313.152801,1001472,-33.03414535522461
