Wall time,Step,Value
1789599147.544477,2048,-22.222017288208008
1789599148.141898,4096,-22.174530029296875
1789599149.3309,8192,-21.15256118774414
1789599150.5352771,12288,-18.96692657470703
1789599151.127744,14336,-17.592220306396484
1789599151.743295,16384,-16.18987464904785
1789599152.333191,18432,-15.09400463104248
1789599152.925067,20480,-14.299195289611816
1789599153.517889,22528,-13.490241050720215
1789599154.1079512,24576,-12.626049995422363
1789599154.69959,26624,-12.066981315612793
1789599155.292686,28672,-11.940739631652832
1789599155.8841228,30720,-11.592308044433594
1789599156.475668,32768,-11.359868049621582
1789599157.065946,34816,-11.129854202270508
1789599157.659586,36864,-11.046600341796875
1789599158.25526,38912,-11.008659362792969
1789599158.851737,40960,-10.845595359802246
1789599159.4446678,43008,-10.738814353942871
1789599160.039031,45056,-10.584053039550781
1789599160.6318579,47104,-10.56888198852539
1789599161.222879,49152,-10.558059692382812
1789599161.815797,51200,-10.717803001403809
1789599162.408876,53248,-10.727574348449707
1789599163.5986502,57344,-10.608847618103027
1789599165.385337,63488,-10.545940399169922
1789599165.9805849,65536,-10.457208633422852
1789599166.572856,67584,-10.48486042022705
1789599167.165458,69632,-10.478171348571777
1789599167.7575412,71680,-10.422690391540527
1789599168.947314,75776,-10.480088233947754
1789599169.541089,77824,-10.547685623168945
1789599170.138036,79872,-10.495597839355469
1789599170.733247,81920,-10.557217597961426
1789599171.329752,83968,-10.33944034576416
1789599172.5180428,88064,-10.153496742248535
1789599173.113472,90112,-10.220870971679688
1789599173.7059991,92160,-10.254907608032227
1789599174.3021061,94208,-10.3192138671875
1789599174.895372,96256,-10.348153114318848
1789599175.4867258,98304,-10.438721656799316
1789599176.678912,102400,-10.375081062316895
1789599177.271277,104448,-10.328670501708984
1789599178.463768,108544,-10.239027976989746
1789599179.05761,110592,-10.226898193359375
1789599179.649605,112640,-10.222126007080078
1789599180.243348,114688,-10.360060691833496
1789599180.8378,116736,-10.227481842041016
1789599181.4408162,118784,-10.203608512878418
1789599182.6294909,122880,-10.378780364990234
1789599183.224874,124928,-10.34237003326416
1789599183.817536,126976,-10.246172904968262
1789599184.409193,129024,-10.217496871948242
1789599185.00321,131072,-10.230266571044922
1789599185.598517,133120,-10.29597282409668
1789599186.1931908,135168,-10.24206829071045
1789599186.788216,137216,-10.219395637512207
1789599187.384185,139264,-10.267556190490723
1789599187.976375,141312,-10.301519393920898
1789599188.5710888,143360,-10.307145118713379
1789599189.7623591,147456,-10.243934631347656
1789599190.381343,149504,-10.27735424041748
1789599190.9753542,151552,-10.153121948242188
1789599191.5687501,153600,-10.083502769470215
1789599192.753588,157696,-10.16446304321289
1789599193.347805,159744,-10.142783164978027
1789599193.9429529,161792,-10.096627235412598
1789599194.538256,163840,-10.162165641784668
1789599195.727395,167936,-10.263144493103027
1789599196.321213,169984,-10.380539894104004
1789599197.508218,174080,-10.250832557678223
1789599198.1032178,176128,-10.2254056930542
1789599198.697715,178176,-10.23840045928955
1789599199.2922418,180224,-10.217761993408203
1789599199.8873868,182272,-10.203890800476074
1789599200.4829671,184320,-10.140830039978027
1789599201.674391,188416,-10.07344913482666
1789599202.2703009,190464,-9.921360969543457
1789599202.8665721,192512,-9.987639427185059
1789599203.4629278,194560,-10.191810607910156
1789599204.057665,196608,-10.149296760559082
1789599204.652282,198656,-10.072308540344238
1789599205.248728,200704,-10.15318489074707
1789599206.4393978,204800,-10.099523544311523
1789599207.036067,206848,-10.294357299804688
1789599207.631855,208896,-10.299409866333008
1789599208.2259352,210944,-10.205631256103516
1789599208.820405,212992,-10.169703483581543
1789599209.415893,215040,-10.178274154663086
1789599210.010664,217088,-10.181800842285156
1789599210.605747,219136,-10.133305549621582
1789599211.7968068,223232,-10.242643356323242
1789599212.399067,225280,-10.376519203186035
1789599212.993549,227328,-10.31281852722168
1789599213.590243,229376,-10.24712085723877
1789599214.783446,233472,-10.234981536865234
1789599215.3808188,235520,-10.20633602142334
1789599215.971321,237568,-10.162317276000977
1789599216.563927,239616,-10.146306037902832
1789599217.159571,241664,-10.20201587677002
1789599217.752735,243712,-10.161932945251465
1789599218.346891,245760,-10.246600151062012
1789599218.9463592,247808,-10.196266174316406
1789599219.542652,249856,-10.159004211425781
1789599220.1373818,251904,-10.141615867614746
1789599220.7315998,253952,-10.062654495239258
1789599221.327002,256000,-10.100017547607422
1789599221.919334,258048,-10.09271240234375
1789599222.5124428,260096,-10.086076736450195
1789599223.109837,262144,-10.139922142028809
1789599224.302094,266240,-10.148149490356445
1789599224.893266,268288,-10.053303718566895
1789599226.6775832,274432,-9.965645790100098
1789599227.274261,276480,-10.04745101928711
1789599228.48959,280576,-10.021324157714844
1789599229.081428,282624,-10.085906982421875
1789599230.2719529,286720,-10.053117752075195
1789599231.463264,290816,-10.17338752746582
1789599232.05885,292864,-10.22719669342041
1789599232.6523972,294912,-10.189841270446777
1789599233.248183,296960,-10.128398895263672
1789599233.8442938,299008,-10.043160438537598
1789599234.439105,301056,-10.097574234008789
1789599235.623538,305152,-10.124753952026367
1789599236.220255,307200,-10.149811744689941
1789599236.814202,309248,-10.15860366821289
1789599237.408675,311296,-10.186001777648926
1789599238.599304,315392,-9.930472373962402
1789599239.1949692,317440,-10.053384780883789
1789599239.790522,319488,-10.275182723999023
1789599240.979799,323584,-10.146586418151855
1789599241.572704,325632,-10.124229431152344
1789599242.16809,327680,-10.141433715820312
1789599243.366595,331776,-10.006287574768066
1789599243.961041,333824,-10.03859806060791
1789599245.151247,337920,-10.115809440612793
1789599245.749502,339968,-10.105830192565918
1789599246.9392488,344064,-10.141608238220215
1789599247.533783,346112,-10.148192405700684
